Date, Time, Light Level, Air Quality, Humidity, Temperature
"2020-05-21","19:38:15","665","26","30.00","26.00"
"2020-05-21","19:38:25","733","26","30.00","27.00"
"2020-05-21","19:38:35","733","26","30.00","27.00"
"2020-05-21","19:38:45","712","25","30.00","27.00"
"2020-05-21","19:50:04","729","27","30.00","27.00"
"2020-05-21","19:58:57","643","25","30.00","26.00"
"2020-05-21","20:19:30","749","27","30.00","26.00"
"2020-05-21","20:19:30","719","26","31.00","26.00"
"2020-05-21","20:19:30","671","27","32.00","26.00"
"2020-05-21","20:19:30","656","27","33.00","26.00"
"2020-05-21","20:54:58","544","25","30.00","27.00"
"2020-05-21","20:55:03","543","25","30.00","27.00"
"2020-05-21","20:55:09","543","25","30.00","27.00"
"2020-05-21","20:55:14","900","26","30.00","27.00"
"2020-05-21","20:55:19","863","25","30.00","27.00"
"2020-05-21","20:55:24","888","25","30.00","27.00"
"2020-05-21","20:55:29","815","25","30.00","27.00"
"2020-05-21","20:55:34","543","25","30.00","27.00"
"2020-05-21","20:55:39","537","25","30.00","27.00"
"2020-05-21","20:55:44","537","25","30.00","27.00"
"2020-05-21","20:55:49","540","25","30.00","27.00"
"2020-05-21","20:55:54","541","25","30.00","26.00"
"2020-05-21","20:55:59","537","25","30.00","27.00"
"2020-05-21","20:56:04","479","25","30.00","27.00"
"2020-05-21","20:56:09","506","24","32.00","27.00"
"2020-05-21","20:56:14","533","24","32.00","27.00"
"2020-05-21","20:56:19","529","25","32.00","27.00"
"2020-05-21","20:56:24","529","24","31.00","27.00"
"2020-05-21","20:58:07","533","111","30.00","27.00"
"2020-05-21","20:58:12","532","98","30.00","27.00"
"2020-05-21","20:58:17","531","90","30.00","27.00"
"2020-05-21","20:58:22","532","84","30.00","27.00"
"2020-05-21","20:58:27","533","80","30.00","27.00"
"2020-05-21","20:58:32","533","77","30.00","27.00"
"2020-05-21","20:58:37","533","75","30.00","27.00"
"2020-05-21","20:58:42","533","73","30.00","27.00"
"2020-05-21","20:58:47","533","72","30.00","27.00"
"2020-05-21","20:58:52","530","71","30.00","27.00"
"2020-05-21","20:58:58","517","70","30.00","27.00"
"2020-05-21","20:59:03","523","69","30.00","27.00"
"2020-05-21","20:59:08","522","68","30.00","27.00"
"2020-05-21","20:59:13","522","67","30.00","27.00"
"2020-05-21","20:59:18","522","66","30.00","27.00"
"2020-05-21","20:59:23","523","65","30.00","27.00"
"2020-05-21","20:59:28","523","65","30.00","27.00"
"2020-05-21","20:59:33","523","64","30.00","27.00"
"2020-05-21","20:59:38","523","63","30.00","27.00"
"2020-05-21","20:59:43","523","63","30.00","27.00"
"2020-05-21","20:59:48","523","62","30.00","27.00"
"2020-05-21","20:59:53","522","61","30.00","27.00"
"2020-05-21","20:59:58","523","61","30.00","27.00"
"2020-05-21","21:00:03","522","60","30.00","27.00"
"2020-05-21","21:00:08","522","60","30.00","27.00"
"2020-05-21","21:00:13","522","60","30.00","27.00"
"2020-05-21","21:00:18","522","59","30.00","27.00"
"2020-05-21","21:00:23","522","58","30.00","27.00"
"2020-05-21","21:00:28","522","58","30.00","27.00"
"2020-05-21","21:00:33","522","57","30.00","27.00"
"2020-05-21","21:00:38","522","57","30.00","27.00"
"2020-05-21","21:07:25","523","51","30.00","27.00"
"2020-05-21","21:12:25","517","42","30.00","26.00"
"2020-05-21","21:17:26","513","37","30.00","26.00"
"2020-05-21","21:22:26","533","34","29.00","26.00"
"2020-05-21","21:27:26","517","33","30.00","26.00"
"2020-05-21","21:32:27","509","32","29.00","26.00"
"2020-05-21","21:37:27","519","30","29.00","26.00"
"2020-05-21","21:42:28","514","29","29.00","26.00"
"2020-05-21","21:47:28","524","29","29.00","26.00"
"2020-05-21","21:52:29","519","29","30.00","26.00"
"2020-05-21","21:57:29","522","30","31.00","26.00"
"2020-05-21","22:02:29","520","29","31.00","26.00"
"2020-05-22","11:51:51","880","17","34.00","26.00"
"2020-05-22","11:55:39","901","18","34.00","26.00"
